"Series_reference","Period","Type","Data_value","Lower_CI","Upper_CI","Units","Indicator","Cause","Validation","Population","Age","Severity"
"W_A11","2000-02","Moving average","59.6666666666666","50.9258230199682","68.407510313365","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2001-03","Moving average","60","51.2347745942341","68.7652254057658","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2002-04","Moving average","59","50.308125050352","67.6918749496479","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2003-05","Moving average","59","50.308125050352","67.6918749496479","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2004-06","Moving average","61.3333333333333","52.4712516678722","70.1954149987944","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2005-07","Moving average","63","54.0183166814579","71.981683318542","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2006-08","Moving average","57.3333333333333","48.7651044410217","65.9015622256449","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2007-09","Moving average","63.6666666666666","54.6375862732774","72.6957470600559","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2008-10","Moving average","64","54.9473141273906","73.0526858726093","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2009-11","Moving average","64.3333333333333","55.2571033744794","73.4095632921872","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2010-12","Moving average","55.3333333333333","46.9158768407868","63.7507898258798","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2011-13","Moving average","54.3333333333333","45.992284986132","62.6743816805346","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2012-14","Moving average","51.3333333333333","43.225828864654","59.4408378020126","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2013-15","Moving average","52","43.8400192264096","60.1599807735904","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2014-16","Moving average","54","45.6845770539019","62.315422946098","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
"W_A11","2015-17","Moving average","52.3333333333333","44.1472405545273","60.5194261121393","Injuries","Number","Assault","Validated","Whole pop","All ages","Fatal"
